"productId","name","category","subcategory","manufacturer","price","onDiscount","discountPrice","description","images"
"xnCLXV4bdJKf9uUBRH3G","Acustic","Zaštita bilja","Fungicidi","Galenika Fitofarmacija","1","false","","Opis:
Lokalsistemični fungicid sa protektivnim i izvesnim kurativnim delovanjem, namenjen za suzbijanje patogena u voćarstvu
Proizvođač
GALENIKA-FITOFARMACIJA a.d.
Aktivne Materije
Dodin
Formulacija:
koncentrovana suspenzija - SC
Delovanje
Dodin je jedinjenje koje pripada grupi guanidina (FRAC: U12). Odlikuje ga nespecifičan mehanizam delovanja. Remeti ćelijske membrane, povećava njihovu propustljivost što dovodi do curenja ćelijskog sadržaja iz protoplazme u intercelularne prostore (citoliza). Inhibira i određene intercelularne enzime kod gljiva. Preventivno delovanje ispoljava tako što inhibira klijanje spora kod fitopatogenih gljiva, a blago kurativno delovanje inhibirajući porast klicine cevi pri primeni 48 h nakon ostvarene infekcije. Nakon aplikacije se vezuje za voštani sloj lista što pokazuje da poseduje otpornost na spiranje kišom. Ima povoljna toksikološka i ekotoksikološka svojstva. Može doći do fitotoksičnosti ukoliko nakon primene u fenofazi precvetavanja temperatura padne ispod 5°C.
Karenca:
21 dan - jabuka
14 dana - višnja, trešnja
OVP - breskva
Koncentracija
0,15-0.25%
Primena:
jabuka, višnja, trešnja, breskva
Pakovanje:
1 l","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762519874612-acustic2.jpg?alt=media&token=c768e296-6039-43d9-9525-4c56e25958ad"
"ZtQdY6Pb69FyTJ1xXJAS","Akcija Proizvod","Seme i sadnice","Seme ratarskih kultura","Nesto","3000","true","2800","asda","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741448848948-coral.jpg?alt=media&token=f1924b57-c165-4770-b2ae-032bb35ab057"
"0HYakc8U67tj4V1e7TBQ","Akord","Zaštita bilja","Fungicidi","Galenika Fitofarmacija","1","false","","Opis
Sistemični fungicid širokog spektra delovanja za primenu u voćarstvu, povrtarstvu, vinovoj lozi i pšenici
Proizvođač
GALENIKA-FITOFARMACIJA a.d.
Aktivne Materije
Tebukonazol
Formulacija
koncentrat za emulziju - EC
Delovanje
Akord je sistemični fungicid koji sadrži aktivnu supstancu tebukonazol, iz grupe triazola. Mehanizam delovanja triazola je u inhibiciji enzima koji imaju ulogu u sintezi ergosterola. Ergosterol ulazi u sastav ćelijskih zidova i neophodan je za njihovo normalno funkcionisanje. upotrba Akorda dovodi do nekontrolisanog rasta gljiva i njihovog uginuća. Primenjuje se preventivno i u ranom postinfekcionom periodu, nakon klijanja gljiva, jer one imaju dovoljno ergosterola, preporučuje se aplikacija na samom početku infekcionog procesa.
Karenca
7 dana - breskva, kajsija, tikva, bundeva, tikvica, dinja, lubenica
14 dana - malina, kupina, orah
21 dan - paradajz, višnja, šljiva, vinova loza, jagoda, mrkva, peršun, celer, paštrnak
obezbeđena vremenom primene - pšenica
Koncentracija
0,4-1 l/ha
0,05%
Primena
višnja, šljiva, vinova loza, jagoda, malina, kupina, breskva, kajsija, orah, pšenica, paradajz, tikva, bundeva, tikvica, dinja, lubenica, mrkva, peršun, paštrnak, celer
Pakovanje
100 ml, 1 l","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513246540-akord.webp?alt=media&token=f02d33ed-a353-4e5d-ae63-376a5fe9b7a8"
"3vq91QABUOxppFvXLFKN","Alijansa Plus","Zaštita bilja","Fungicidi","Galenika Fitofarmacija","1","false","","Opis
Sistemični fungicid sa protektivnim i kurativnim delovanjem, namenjen za suzbijanje prouzrokovača plamenjače krompira i vinove loze.
Proizvođač
GALENIKA-FITOFARMACIJA a.d.
Aktivne Materije
Bakar-oksihlorid + metalaksil-M
Formulacija
kvašljivi prašak - WP
Delovanje
Alijansa plus je fungicid sa dvostrukim mehanizmom delovanja. Ispoljava visoku efikasnost u suzbijanju velikog broja prouzrokovača biljnih bolesti. Metalaksil-M se nakon aplikacije veoma brzo usvaja zelenim delovima biljke. Zbog izvanredne pokretljivosti ksilemom unutar biljke, transportuje se do vršnih delova novoizraslog biljnog tkiva, koje je na taj način zaštićeno od infekcije. Mehanizam delovanja se bazira na inhibiciji sinteze proteina u organizmu gljiva, čime se remete procesi metabolizma koji dovode do uginuća gljiva. Bakar iz bakarnog oksihlorida je kontaktni i preventivni fungicid čije se delovanje zasniva na aktivnosti Cu2+ katjona. Pri kontaktu sa sporama gljive sprečava procese ćelijskog disanja pri čemu se sprečava klijanje spora i nastanak infekcije u u početnim fazama. Pored fungicidnog delovanja bakar iz bakarnog oskihlorida pokazuje i baktericidno delovanje.
Karenca
21 dan - vinova loza
14 dana - krompir
Koncentracija
2,5 kg/ha
Primena
vinova loza, krompir
Pakovanje
1 kg","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513378987-alijansa.jpg?alt=media&token=8f620b62-39da-4fdd-a4b1-ff5427a99e55"
"hDo1cSagRfkYrJExSrTv","Amino Copper 8","Ishrana bilja","Đubriva na bazi mikroelemenata","Fertico","1","false","","• Tečno đubrivo na bazi bakra (Cu), u obliku organskih molekula (heptoglukonati, lignosulfonati i EDTA)
• Eliminiše simptome deficita bakra na biljkama
• Ubrzava metabolizam gajenih biljaka
• Povećava otpornost biljaka na patogene gljive i bakterije
• Primena: folijarno od 0.1% do 0.2% i fertigaciono od 3 do 5 l/ha

Sadržaj Cu u proizvodu: 26,2 g/l

","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741768948620-FITOFERT-AMINO-COPPER-8.jpg?alt=media&token=01a7e43d-dfaa-4b27-815c-a7724381780b"
"VRdIWSOhoVzeZUYQQrp7","Aminoflex 25","Ishrana bilja","Tečna đubriva i biostimulatori","Fertico","1","false","","• Tečno biostimulativno đubrivo na bazi slobodnih aminokiselina biljnog porekla
• Stimulativno deluje na rast i razvoj biljaka, naročito u uslovima stresa (hladnoća, visoka temperatura, grad, fitotoksija… )
• Doprinosi kvalitetnijoj izgradnji ćelijskog zida, sintezi hlorofila, oplodnji i  drugim enzimskim procesima
• Primena: folijarno u koncentraciji od 0.1 do 0.5 % (voćarstvo 2-3 l/ha, ratarstvo 1-2 l/ha, povrtarstvo 0.1-0.3%)","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741767449322-1.jpg?alt=media&token=5f8c247f-0f4a-4f67-9e60-0d10986475e0"
"9kI24Pwio8qT4HdvKdif","Aminomax 80","Ishrana bilja","Tečna đubriva i biostimulatori","Fertico","1","false","","• Biostimulativno praškasto đubrivo na bazi aminokiselina biljnog porekla
• Jedinstven proizvod zbog jako visokog sadržaja aminokiselina stimulativno deluje na rast i razvoj biljaka, naročito u uslovima stresa (hladnoća, visoka temperatura, grad, fitotoksija… )
• Primena: folijarno u koncentraciji od 0,08 do 0.3 % (voćarstvo 1 kg/ha, ratarstvo 0.2-0.3 kg/ha, povrtarstvo 0.08 – 0.1 %)
• Sadržaj aminokiselina: 800 g/kg","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1741769086106-FITOFERT-AMINOMAX80.jpg?alt=media&token=bd4fd5d6-61c6-4935-874f-382930938207"
"Jzxwj9imdZADJMPBUVsr","Astrid","Zaštita bilja","Herbicidi","Galenika Fitofarmacija","1","false","","Opis
Selektivni herbicid namenjen za subijanje jednogodišnjih širokolisnih i uskolisnih korova u usevu kukuruza
Proizvođač
GALENIKA-FITOFARMACIJA a.d.
Aktivne Materije
Izoksaflutol + tienkarbazon-metil + protektant ciprosulfamid
Formulacija
koncentrovana suspenzija - SC
Delovanje
Astrid je herbicid koji u svom sastavu sadrži dve aktivne supstance različitog mehanizma delovanja. Usvajanje se vrši putem korena i lista, a zahvaljujući delovanju protektanta ciprosulfamida, preparat Astrid odlikuje izuzetna selektivnost. Izoksaflutol ispoljava delovanje tako što sprečava sintezu karotenoida što se manifestuje karakterističnim simptomom promene boje lista iz zelene u belu (izbeljivanje), uz postepeno uvenuće. Tienkarbazon-metil pripada grupi ALS inhibitora. Nakon usvajanja, tienkarbazon-metil se sprovodnim sudovima transportuje do tačaka porasta gde se sprečava stvaranje enzima acetolaktat sintetaze (ALS), čija je ključna uloga u deobi ćelija meristemskog tkiva. Na ovaj način, rast korovskih biljaka prestaje nakon čega se suše i odumiru. Ciprosulfamid, kao protektant, ima ulogu u podsticaju metabolizma kukuruza i deluje tako što ubrzava razgradnju aktivnih supstanci u gajenoj biljci sprečavajući eventualno štetno delovanje.
Karenca
obezbeđena vremenom primene za kukuruz
Koncentracija
0,4 l/ha
Primena
kukuruz
Pakovanje
1 L","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762508813305-Astrid.webp?alt=media&token=e78fbcb0-1b7a-4d12-a8b2-523c639ad802"
"HeY8NupMoZr5Dro9Uvm9","Atlas Flow","Zaštita bilja","Fungicidi","Galenika Fitofarmacija","1","false","","Opis
Sistemični i kontaktni folijarni fungicid, namenjen za suzbijanje prouzrokovača sive truleži u zasadu maline
Proizvođač
GALENIKA-FITOFARMACIJA a.d.
Aktivne Materije
Ciprodinil + fludioksonil
Formulacija
koncentrovana suspenzija - SC
Delovanje
Atlas flow je preparat koji u svom sastavu sadrži dve aktivne supstance različitog mehanizma delovanja. Ciprodinil je sistemični fungicid iz grupe anilin-opirimidina. Svoju sistemičnost ispoljava nakon što se usvoji u biljno tkivo, kretanjem akropetalno sprovodnim sudovima ksilema. Mehanizam delovanja se ogleda u inhibiciji biosinteze aminokiseline metionin i lučenju hidrolitičkih enzima gljive. Na taj način se zaustavlja rast apresorije koja klija iz spore i njeno prodiranje u biljno tkivo sprečava nastanak infekcije u njenim početnim fazama. Fludioksonil pripada grupi fenilpirola i odlikuje ga jak fungicidni efekat. To je nesistemični fungicid širokog spektra delovanja sa dugom rezidualnom aktivnošću. Poseduje jedinstven mehanizam delovanja putem blokade regulatornih enzima (histidin kinaza) koji su neophodni za sintezu glicerola. Na ovaj način dolazi do inhibicije klijanja spora, klicine cevi i porasta micelije gljiva. Nakon aplikacije često se vezuje za voštani sloj biljnog tkiva. Najbolje rezultate postiže preventivnim korišćenjem ili u ranim fazama infekcije.
Karenca
7 dana za malinu
Koncentracija
1 l/ha
Primena
malina
Pakovanje
50 ml, 500 ml, 1 l","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1762513573124-Atlas-Flow-Fungicid1.jpg?alt=media&token=b5611772-e3ec-4fb3-9440-908fde66935b"
"Tm4X8aJYbDPc8PSBlcoy","Bacillo Stoper","Zaštita bilja","Organski preparati","Bacilomix","1","false","","BIOFUNGICID I BIOBAKTERICID I PRVI LIOFILIZOVANI MIKROBIOLOŠKI PREPARAT NA DOMAĆEM TRŽIŠTU!
BACILLO STOPER je monovalentan mikrobiološki preparat koji sadrži efektivan soj mikroorganizma, Bacillus amyloliquefaciens soj BA 12, koji ima izraženu moć kompeticije sa autohtonom mikrobnom populacijom, visok stepen sposobnosti preživljavanja i adaptacije na novonastale uslove u kojima treba da ostvari svoju najbolju efektivnost.

Bacillus amyloliquefaciens soj BA 12 je izolovan iz rizosfere lekovitih biljaka sa zaštićenog područja srpskih planina. Zbog specifičnosti biohemije lekovitih biljaka, mikroorganizmi koji opstanu u njihovoj rizosferi imaju daleko veću efikasnost u odnosu na izolovane iz rizosfere gajenih ili samoniklih biljaka.","https://firebasestorage.googleapis.com/v0/b/web-shop-model.appspot.com/o/images%2F1764232721527-bacilo%20stoper.png?alt=media&token=4ba858cf-7fe5-41ff-944b-e71c14523efa"
